"","Season","Team","W","L","SV","GS","K.9","BB.9","HR.9","BABIP","LOB.","GB.","HR.FB","ERA","FIP","WAR.x","Zone.","tERA","K..x","BB..x","ER","K.BB","K.BB.","AB","PA","H","X1B","X2B","X3B","HR","R","RBI","BB","SO","Pitches","Balls","Strikes","BB..y","K..y","OBP","SLG","OPS","WAR.y","Z.Swing.","Z.Contact."
"53",2016,"SDP",68,94,35,162,7.64,3.56,1.14,0.296,"71.3%","46.4%","12.6%",4.44,4.4,8.6,"43.4%",4.51,"19.6%","9.1%",711,2.15,"10.5%",5419,6000,1275,815,257,26,177,686,654,449,1500,23518,8465,15053,"7.5%","25.0%",0.299,0.39,0.689,9.7,"66.6%","84.3%"
"54",2016,"SEA",86,76,49,162,8.14,2.84,1.32,0.292,"74.9%","43.4%","13.8%",4,4.3,14.5,"45.5%",4.31,"21.4%","7.5%",647,2.87,"14.0%",5583,6227,1446,955,251,17,223,768,735,506,1288,24307,8922,15385,"8.1%","20.7%",0.326,0.43,0.756,23.6,"66.5%","86.8%"
"55",2016,"SFG",87,75,43,162,8.07,2.71,0.97,0.287,"74.3%","45.3%","10.8%",3.69,3.76,14.2,"44.5%",3.85,"21.6%","7.3%",599,2.98,"14.4%",5565,6271,1437,973,280,54,130,715,675,572,1107,24003,8885,15118,"9.1%","17.7%",0.329,0.398,0.728,24.1,"68.7%","88.5%"
"56",2016,"STL",86,76,38,162,8.02,2.95,0.99,0.304,"71.8%","49.5%","12.8%",4.08,3.88,16.6,"45.5%",4.26,"20.9%","7.7%",656,2.72,"13.2%",5548,6223,1416,859,300,32,225,779,745,526,1318,23915,8692,15223,"8.5%","21.2%",0.325,0.443,0.768,24.5,"69.7%","86.6%"
"57",2016,"TBR",68,94,42,162,8.56,3.1,1.33,0.297,"74.2%","41.0%","13.1%",4.2,4.26,10.6,"43.7%",4.33,"22.3%","8.1%",665,2.76,"14.3%",5481,6046,1333,797,288,32,216,672,647,449,1482,23480,8467,15013,"7.4%","24.5%",0.307,0.426,0.733,17,"68.2%","81.7%"
"58",2016,"TEX",95,67,56,162,7.2,3.33,1.25,0.292,"72.8%","45.5%","13.5%",4.38,4.58,12.6,"43.5%",5.29,"18.7%","8.6%",703,2.16,"10.0%",5525,6089,1446,951,257,23,215,765,746,436,1220,23305,8317,14988,"7.2%","20.0%",0.322,0.433,0.755,17.5,"64.8%","86.7%"
"59",2016,"TOR",89,73,43,162,8.1,2.84,1.13,0.282,"74.4%","46.6%","13.0%",3.79,4.04,16.8,"44.7%",4.28,"21.5%","7.5%",615,2.85,"14.0%",5479,6233,1358,843,276,18,221,759,728,632,1362,25139,9649,15490,"10.1%","21.9%",0.33,0.426,0.755,23.8,"64.3%","85.2%"
"60",2016,"WSN",95,67,46,162,9.1,2.89,0.96,0.288,"75.0%","43.3%","10.9%",3.52,3.58,23.5,"45.5%",3.95,"24.5%","7.8%",571,3.15,"16.7%",5490,6201,1403,903,268,29,203,763,735,536,1252,24077,8945,15132,"8.6%","20.2%",0.326,0.426,0.751,22.7,"64.2%","87.0%"
"61",2017,"ARI",93,69,43,162,9.26,3.22,1.07,0.294,"74.2%","48.1%","13.1%",3.67,3.8,22.9,"43.3%",4.15,"24.4%","8.5%",588,2.87,"15.9%",5525,6224,1405,832,314,39,220,812,776,578,1456,24412,8955,15457,"9.3%","23.4%",0.329,0.445,0.774,21.5,"65.5%","85.1%"
"62",2017,"ATL",72,90,36,162,7.86,3.65,1.2,0.302,"70.1%","44.5%","12.5%",4.72,4.51,9,"43.9%",4.82,"19.9%","9.3%",756,2.15,"10.7%",5584,6216,1467,987,289,26,165,732,706,474,1184,23315,8097,15218,"7.6%","19.0%",0.326,0.412,0.738,14.7,"70.9%","86.5%"
"63",2017,"BAL",75,87,35,162,7.7,3.62,1.51,0.302,"72.2%","44.6%","15.4%",4.97,4.96,8.6,"43.1%",5.19,"19.6%","9.2%",796,2.13,"10.4%",5650,6140,1469,956,269,12,232,743,713,392,1412,23674,8358,15316,"6.4%","23.0%",0.312,0.435,0.747,10.6,"67.5%","84.2%"
"64",2017,"BOS",93,69,39,162,9.59,2.82,1.18,0.303,"75.7%","41.0%","12.7%",3.73,3.78,23.2,"44.9%",4.26,"25.4%","7.5%",615,3.4,"17.9%",5669,6338,1461,972,302,19,168,785,735,571,1224,25018,9223,15795,"9.0%","19.3%",0.329,0.407,0.736,15.3,"62.3%","87.1%"
"65",2017,"CHC",92,70,38,162,8.95,3.44,1.21,0.285,"74.2%","46.2%","14.5%",3.95,4.2,16.8,"43.6%",4.44,"23.6%","9.1%",636,2.6,"14.5%",5496,6283,1402,876,274,29,223,822,785,622,1401,24352,8863,15489,"9.9%","22.3%",0.338,0.437,0.775,26.4,"66.9%","84.5%"
"66",2017,"CHW",67,95,25,162,7.55,4,1.53,0.281,"72.4%","41.9%","14.7%",4.78,5.17,4.4,"43.8%",5.21,"19.2%","10.2%",755,1.89,"9.0%",5513,6059,1412,933,256,37,186,706,670,401,1397,23244,8114,15130,"6.6%","23.1%",0.314,0.417,0.731,16.1,"68.9%","85.1%"
"67",2017,"CIN",68,94,33,162,8.18,3.97,1.56,0.296,"71.1%","44.6%","16.8%",5.17,5.08,5.3,"45.6%",5.46,"20.7%","10.0%",821,2.06,"10.6%",5484,6213,1390,884,249,38,219,753,715,565,1329,23922,8707,15215,"9.1%","21.4%",0.329,0.433,0.761,21.6,"67.1%","86.3%"
"68",2017,"CLE",102,60,37,162,10.08,2.54,1.02,0.303,"77.5%","44.1%","13.0%",3.3,3.33,30.4,"46.3%",3.92,"27.5%","6.9%",529,3.98,"20.6%",5511,6234,1449,875,333,29,212,818,780,604,1153,24759,9457,15302,"9.7%","18.5%",0.339,0.449,0.788,28.9,"66.6%","86.8%"
"69",2017,"COL",87,75,47,162,7.95,3.33,1.19,0.305,"72.2%","48.5%","14.2%",4.51,4.32,18.6,"47.9%",5.29,"20.6%","8.6%",721,2.39,"11.9%",5534,6201,1510,987,293,38,192,824,793,519,1408,23940,8541,15399,"8.4%","22.7%",0.338,0.444,0.781,14.3,"66.4%","85.3%"
"70",2017,"DET",64,98,32,162,7.62,3.41,1.38,0.32,"68.7%","39.4%","12.8%",5.36,4.73,11.5,"45.8%",5.21,"19.1%","8.5%",846,2.23,"10.5%",5556,6150,1435,924,289,35,187,735,699,503,1313,24123,8666,15457,"8.2%","21.3%",0.324,0.424,0.748,10.4,"67.4%","85.8%"
"71",2017,"HOU",101,61,45,162,9.91,3.25,1.2,0.3,"73.7%","47.3%","14.9%",4.12,3.91,19,"44.7%",3.93,"26.1%","8.5%",662,3.05,"17.5%",5611,6271,1581,977,346,20,238,896,854,509,1087,23749,8854,14895,"8.1%","17.3%",0.346,0.478,0.823,37.2,"65.8%","88.5%"
"72",2017,"KCR",80,82,39,162,7.61,3.25,1.23,0.303,"70.9%","43.7%","12.0%",4.63,4.43,13.7,"47.5%",4.6,"19.6%","8.3%",740,2.34,"11.2%",5536,6027,1436,959,260,24,193,702,660,390,1166,22862,7961,14901,"6.5%","19.3%",0.311,0.42,0.731,12,"71.1%","87.1%"
"73",2017,"LAA",80,82,43,162,8.2,2.94,1.4,0.289,"74.9%","41.6%","14.1%",4.2,4.43,11,"43.5%",4.52,"21.8%","7.8%",672,2.79,"14.0%",5415,6073,1314,863,251,14,186,710,678,523,1198,23378,8612,14766,"8.6%","19.7%",0.315,0.397,0.712,16.3,"65.9%","86.6%"
"74",2017,"LAD",104,58,51,162,9.65,2.75,1.15,0.281,"77.8%","42.7%","13.4%",3.38,3.67,21.7,"45.2%",3.8,"26.1%","7.5%",543,3.5,"18.7%",5408,6191,1347,794,312,20,221,770,730,649,1380,24348,9349,14999,"10.5%","22.3%",0.334,0.437,0.771,30.3,"65.2%","85.1%"
"75",2017,"MIA",77,85,34,162,7.5,3.91,1.2,0.298,"70.7%","42.5%","12.2%",4.82,4.69,5.5,"44.5%",4.76,"19.0%","9.9%",772,1.92,"9.1%",5602,6248,1497,1001,271,31,194,778,743,486,1282,23905,8473,15432,"7.8%","20.5%",0.331,0.431,0.761,25.6,"64.9%","87.1%"
"76",2017,"MIL",86,76,54,162,8.38,3.44,1.15,0.298,"74.8%","45.7%","13.5%",4,4.24,17.1,"43.9%",4.63,"21.8%","9.0%",642,2.43,"12.9%",5467,6135,1363,850,267,22,224,732,695,547,1571,24245,8745,15500,"8.9%","25.6%",0.322,0.429,0.751,22.5,"66.7%","82.4%"
"77",2017,"MIN",85,77,42,162,7.31,3.03,1.4,0.296,"72.5%","42.4%","13.5%",4.6,4.71,8.9,"45.0%",4.99,"18.8%","7.8%",734,2.41,"11.0%",5557,6261,1444,921,286,31,206,815,781,593,1342,24888,9280,15608,"9.5%","21.4%",0.334,0.434,0.768,28.3,"64.8%","85.4%"
