"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"2021","PIT","2393","5983","124","609","570","60","8.8%","22.2%",".128",".290",".236",".309",".364",".294","","82","-3.9","-143.4","14.2","7.2"
"2018","SDP","2380","6059","162","617","583","95","7.8%","25.1%",".145",".294",".235",".297",".380",".294","","84","-5.7","-122.0","28.1","9.6"
"2021","MIA","2436","5928","158","623","594","106","7.6%","26.2%",".139",".296",".233",".298",".372",".291","","83","0.4","-130.7","52.4","12.1"
"2021","TEX","2252","5943","167","625","598","106","7.3%","23.2%",".143",".280",".232",".294",".375",".291","","83","-1.8","-124.2","41.1","11.9"
"2022","MIA","2384","5949","144","586","554","122","7.3%","24.0%",".133",".284",".230",".294",".363",".290","","88","-2.6","-83.9","-14.8","10.6"
"2018","SFG","2412","6113","133","603","573","77","7.3%","24.0%",".129",".299",".239",".300",".368",".290","","82","-2.9","-140.4","9.5","6.0"
"2019","DET","2316","6039","149","582","556","57","6.5%","26.4%",".148",".308",".240",".294",".388",".290","","77","-6.8","-181.0","-57.5","-2.0"
"2018","MIA","2434","6083","128","589","554","45","7.5%","22.8%",".119",".293",".237",".303",".357",".289","","83","-15.8","-138.9","54.3","10.6"
"2022","PIT","2340","5912","158","591","555","89","8.1%","25.3%",".141",".277",".222",".291",".364",".289","","84","6.7","-101.5","-32.9","6.7"
"2019","MIA","2402","6045","146","615","593","55","6.5%","24.3%",".134",".300",".241",".298",".375",".288","","79","-23.9","-195.6","22.0","1.9"
"2020","TEX","865","2147","62","224","204","49","7.8%","25.5%",".147",".266",".217",".285",".364",".283","","76","3.0","-59.6","-17.4","0.3"
"2020","PIT","873","2134","59","219","210","16","7.8%","24.4%",".137",".268",".220",".284",".357",".279","","72","-2.3","-79.8","0.7","1.4"
"2022","DET","2350","5870","110","557","530","47","6.5%","24.1%",".115",".290",".231",".286",".346",".279","","81","-8.6","-132.9","-29.8","2.5"
"2022","OAK","2394","5863","137","568","537","78","7.4%","23.7%",".130",".264",".216",".281",".346",".277","","84","1.4","-104.7","-16.7","6.8"
